################################################################
# MalwareBazaar recent malware samples (CSV)                   #
# Last updated: 2024-11-04 22:21:12 UTC                        #
#                                                              #
# Terms Of Use: https://bazaar.abuse.ch/faq/#tos               #
# For questions please contact bazaar [at] abuse.ch            #
################################################################
#
# "first_seen_utc","sha256_hash","md5_hash","sha1_hash","reporter","file_name","file_type_guess","mime_type","signature","clamav","vtpercent","imphash","ssdeep","tlsh"
"2024-11-04 22:21:12", "1d13223abd844f3f43073868654d26316fbc45be920139e2541de854d1bbf36d", "026e60325b834a7095b6a5e99d25a56f", "326f9ef2620ef2776e5946b32015adca87897faf", "abuse_ch", "wget.sh", "sh", "text/x-shellscript", "n/a", "n/a", "50.00", "n/a", "24:wt/Z79OjtaHbhOjt6Z6dFHoOjtv7bOjtpmprOjtU7hOjtJtdpOjt05Ojt+3+Is22:wL9sYHdsssNsbqrs2slsYsE1sJv", "T10641CAC71E200036ADD1A95771A9814CB3D8948766ED19AF95DC3AF281CEECC688175B"
"2024-11-04 22:06:54", "f0dcdf62b256cdfa3830345f0514d1e5ccafc8b8692ef532cf8074e1ad3b019b", "675a126b0ae0a3bd102be859a7069e7a", "1d9f2424a8033992556286556b93866533a5aab1", "Bitsight", "file", "exe", "application/x-dosexec", "n/a", "n/a", "54.17", "2eabe9054cad5152567f0699947a2c5b", "24576:vEAoP+Tb1METln+vObmAlfycxZmtSbcxdt1QP0jUojfs/IVJ+Pr9LGZnkefdfyzL:rzKYTxZ8t1i0jRTdowclXxwQ", "T1C8D53A72E5C972CFD4CE27789427CD83A96D07B9472508CBA82CA97A7E73CC115B5C28"
"2024-11-04 22:06:46", "a3fa07f081475a701e1d00c8b02db53a87309f48e904fb316fc1d685045f5ac6", "f1e71a70c3ded4f591f9cbe24bb82324", "cf21475d8bb1a14a8ebdf8175ba12e2f2546452b", "Bitsight", "file", "exe", "application/x-dosexec", "CredentialFlusher", "n/a", "43.06", "948cc502fe9226992dce9417f952fce3", "12288:0qDEvFo+yo4DdbbMWu/jrQu4M9lBAlKhQcDGB3cuBNGE6iOrpfe4JdaDga/TB:0qDEvCTbMWu7rQYlBQcBiT6rprG8abB", "T183159E0273D1C062FFAB92334B5AF6515BBC69260123E61F13981DB9BE701B1563E7A3"
"2024-11-04 22:06:17", "825eb1a627f34c3d1fad85cb5904b5ac0fded65f677c5a85fa992e42c450fd99", "b7759166a0f1807b202b45f510c2172e", "ef160ebdf82a6cadd27197fb589a3786e58e3fa5", "abuse_ch", "greatthignswithnewworkingskillwithmegreatwithe.hta", "hta", "text/html", "n/a", "n/a", "0.00", "n/a", "192:OO0vOM7R1YehNAKU3IEjHmaq44BG0wK5FhYg/4fT0Cmlz+S+CVy+g/S:OV6KU3IEq44BG0wK5FhYg/Q0Cmlz7+C7", "T1C632C41E9268386F11EB5195F777B3EC503A4878C060028DB07F5929A257A93EA235FC"
"2024-11-04 22:03:59", "332edf85e857840764535c7b8ed3aeae2af63e5196079d11ba0cdc5e71de190f", "a5dc64240e81bb0b6a636e14d7284b6c", "207ad31461e62b3c538975b395547d454a42de00", "zbetcheckin", "a5dc64240e81bb0b6a636e14d7284b6c", "exe", "application/x-dosexec", "Socks5Systemz", "n/a", "26.39", "884310b1928934402ea6fec1dbd3cf5e", "196608:taUiIXZziBrOjT23BfxcpG7ZjLCW3bsN6d:thiIXZz8rO23BlZ", "T19E56334680EDA5B2F42A13F45DF713A2D83F95744E7D63ACB69E68AD173B2C0A042371"
"2024-11-04 21:50:17", "9615f26aefd8a273a4f87f28f88306238f06960ff560b75a9c1f8cd1d7910462", "8fe4d765052f33ee206babd50ecebff4", "626ed36cc72ed374334c868a5d2471cd1d70e9ef", "abuse_ch", "8FE4D765052F33EE206BABD50ECEBFF4.exe", "exe", "application/x-dosexec", "Zyklon", "n/a", "51.39", "12e12319f1029ec4f8fcbed7e82df162", "49152:IBJS5y9ltNK+s0am17m5uSTRhNCYX1xoUQ/Ui5zbf2qmOK:ywGls0amCyN5zbf7jK", "T18195230179C298B3C5730D735679AB21E63D7D301FA2C9DB63D8166ECA206C1E6397B2"
"2024-11-04 21:46:15", "acb800bc36e84a0e66c23b55e47ff5a1027ec74a896d040cd57adc20aff72150", "f2d60314e59d2078f61717583abfb397", "4e38a3c4380d4829c720056f9cbf7b643805ddf3", "abuse_ch", "gocl", "unknown", "text/plain", "n/a", "n/a", "8.33", "n/a", "12:Gx+yVtHljMtjXxctm8YYt8Dko6UEY1GWttHDR01tbpEA:GYyVtHljMtjXxctm8xtKHtHDR01t+A", "T1E1F0C8CB0C30560A8981DB893056891C9350C9C721E8179FDEDC267BC1CD989B015B4C"
"2024-11-04 21:46:14", "80825f0f5131e6f9663a6ec0b8ce99479fe3982b30948d3cb040479213564c4b", "f0544c4d8ea4ebb6084907fcc9543726", "74eea3643b1cb6700852e2bc9e5e02f82f111148", "abuse_ch", "curl.sh", "sh", "text/x-shellscript", "n/a", "n/a", "20.97", "n/a", "24:D/Z79OaaHbhOa6Z6dFHoOav7bOapmprOaU7hOaJtdpOa05Oa+3+Is2OaPPOI:t9iHdqnRqr4Hau1fv", "T11641AA871E200137BED1A957B1B9828CB3D8548766FD19ABD1D83AF181CEECC588537B"
"2024-11-04 21:41:17", "5ef54e5c416ff1f44cc355ab05e7c4f619318838c1debbedd582041c14e52c70", "409ef347c234a1808b23e90df40e2bb1", "066f687fc78b0a6dad74532743856b145e1470d9", "abuse_ch", "urhyugeur.x86", "elf", "application/x-executable", "Gafgyt", "n/a", "66.15", "n/a", "1536:N7R3dgFgpm+U3owTmlfX8xbUHPN+83XTpha3N5iAoxg6I5um2Xj5YZA0e:t0FghURKlfs+vN+IXTpha3zoxg95um2h", "T1AF934C336613C6BAC08766F527CB9B159C33B8BD0B632106B3D47DE82F955C62DA9E40"
"2024-11-04 21:41:16", "0542e17bcd2fdc1fc91e76c36560d74ac9fd595af4134824acb6492e7c9016ed", "f8de0ed91a8defbc2dad9fe0ee2cb515", "e63b3b14057c002bfd683caabb4eb748ce5986c9", "abuse_ch", "urhyugeur.mips", "elf", "application/x-executable", "Gafgyt", "n/a", "63.49", "n/a", "3072:DWmzrbF74jF5hU8tRreU4gQKdwwzF9GhsRiAe:DLzrJ8F5hU8t2KdwwzF9GhsRiAe", "T1EDB3C86B3A21AFFBE06983310BF79F2087D522D626915342F15CE7585E3128D2C5FBA4"
